TimeMs	ThrottleRaw	BrakeRaw	ClutchRaw	ThrottleRatio	BrakeRatio	ClutchRatio
23	0	0	0	0.0000	0.0000	0.0000
53	0	0	0	0.0000	0.0000	0.0000
85	0	0	0	0.0000	0.0000	0.0000
115	0	0	0	0.0000	0.0000	0.0000
146	0	0	0	0.0000	0.0000	0.0000
176	0	0	0	0.0000	0.0000	0.0000
192	0	0	0	0.0000	0.0000	0.0000
223	0	0	0	0.0000	0.0000	0.0000
240	0	0	0	0.0000	0.0000	0.0000
272	0	0	0	0.0000	0.0000	0.0000
303	0	0	0	0.0000	0.0000	0.0000
333	0	0	0	0.0000	0.0000	0.0000
350	0	0	0	0.0000	0.0000	0.0000
381	0	0	0	0.0000	0.0000	0.0000
396	0	0	0	0.0000	0.0000	0.0000
428	0	0	0	0.0000	0.0000	0.0000
458	0	0	0	0.0000	0.0000	0.0000
474	0	0	0	0.0000	0.0000	0.0000
505	0	0	0	0.0000	0.0000	0.0000
536	0	0	0	0.0000	0.0000	0.0000
566	0	0	0	0.0000	0.0000	0.0000
597	0	0	0	0.0000	0.0000	0.0000
628	0	0	0	0.0000	0.0000	0.0000
660	0	0	0	0.0000	0.0000	0.0000
691	0	0	0	0.0000	0.0000	0.0000
706	0	0	0	0.0000	0.0000	0.0000
722	0	0	0	0.0000	0.0000	0.0000
753	0	0	0	0.0000	0.0000	0.0000
784	0	0	0	0.0000	0.0000	0.0000
815	0	0	0	0.0000	0.0000	0.0000
846	0	0	0	0.0000	0.0000	0.0000
876	0	0	0	0.0000	0.0000	0.0000
907	0	0	0	0.0000	0.0000	0.0000
938	0	0	0	0.0000	0.0000	0.0000
970	0	0	0	0.0000	0.0000	0.0000
985	0	0	0	0.0000	0.0000	0.0000
1016	1985	0	0	1.0000	0.0000	0.0000
1047	5957	0	0	1.0000	0.0000	0.0000
1078	12363	0	0	1.0000	0.0000	0.0000
1110	18001	0	0	1.0000	0.0000	0.0000
1141	28187	0	0	1.0000	0.0000	0.0000
1172	39461	0	0	1.0000	0.0000	0.0000
1203	49135	0	0	1.0000	0.0000	0.0000
1219	55285	0	0	1.0000	0.0000	0.0000
1249	62075	0	0	1.0000	0.0000	0.0000
1264	65535	0	0	1.0000	0.0000	0.0000
1295	65535	0	0	1.0000	0.0000	0.0000
1326	65535	0	0	1.0000	0.0000	0.0000
1358	65535	0	0	1.0000	0.0000	0.0000
1388	65535	0	0	1.0000	0.0000	0.0000
1420	65535	0	0	1.0000	0.0000	0.0000
1436	65535	0	0	1.0000	0.0000	0.0000
1467	65535	0	0	1.0000	0.0000	0.0000
1499	65535	0	0	1.0000	0.0000	0.0000
1514	65535	0	0	1.0000	0.0000	0.0000
1545	65535	0	0	1.0000	0.0000	0.0000
1576	65535	0	0	1.0000	0.0000	0.0000
1593	65150	0	0	1.0000	0.0000	0.0000
1608	62395	0	0	1.0000	0.0000	0.0000
1639	51121	0	0	1.0000	0.0000	0.0000
1670	37283	0	0	1.0000	0.0000	0.0000
1701	21076	0	0	1.0000	0.0000	0.0000
1718	14926	0	0	1.0000	0.0000	0.0000
1748	0	0	0	0.0000	0.0000	0.0000
1780	0	0	0	0.0000	0.0000	0.0000
1810	0	0	0	0.0000	0.0000	0.0000
1826	0	0	0	0.0000	0.0000	0.0000
1856	0	0	0	0.0000	0.0000	0.0000
1888	0	0	0	0.0000	0.0000	0.0000
1920	0	0	0	0.0000	0.0000	0.0000
1950	0	0	0	0.0000	0.0000	0.0000
1981	0	0	0	0.0000	0.0000	0.0000
2012	4356	0	0	1.0000	0.0000	0.0000
2043	18001	0	0	1.0000	0.0000	0.0000
2060	24151	0	0	1.0000	0.0000	0.0000
2091	41127	0	0	1.0000	0.0000	0.0000
2107	45996	0	0	1.0000	0.0000	0.0000
2136	58616	0	0	1.0000	0.0000	0.0000
2167	65535	0	0	1.0000	0.0000	0.0000
2198	65535	0	0	1.0000	0.0000	0.0000
2214	65535	0	0	1.0000	0.0000	0.0000
2245	65535	0	0	1.0000	0.0000	0.0000
2276	65535	0	0	1.0000	0.0000	0.0000
2308	65535	0	0	1.0000	0.0000	0.0000
2337	65535	0	0	1.0000	0.0000	0.0000
2368	65535	0	0	1.0000	0.0000	0.0000
2384	65535	0	0	1.0000	0.0000	0.0000
2416	65535	0	0	1.0000	0.0000	0.0000
2431	65535	0	0	1.0000	0.0000	0.0000
2461	64061	0	0	1.0000	0.0000	0.0000
2492	51825	0	0	1.0000	0.0000	0.0000
2523	36194	0	0	1.0000	0.0000	0.0000
2540	25624	0	0	1.0000	0.0000	0.0000
2571	12556	0	0	1.0000	0.0000	0.0000
2602	4356	0	0	1.0000	0.0000	0.0000
2633	0	0	0	0.0000	0.0000	0.0000
2664	0	0	0	0.0000	0.0000	0.0000
2695	0	0	0	0.0000	0.0000	0.0000
2725	0	0	0	0.0000	0.0000	0.0000
2756	0	0	0	0.0000	0.0000	0.0000
2787	0	0	0	0.0000	0.0000	0.0000
2818	0	0	0	0.0000	0.0000	0.0000
2850	0	0	0	0.0000	0.0000	0.0000
2881	0	0	0	0.0000	0.0000	0.0000
2912	0	0	0	0.0000	0.0000	0.0000
2943	0	0	0	0.0000	0.0000	0.0000
2973	0	0	0	0.0000	0.0000	0.0000
3004	0	0	0	0.0000	0.0000	0.0000
3035	0	0	0	0.0000	0.0000	0.0000
3051	0	0	0	0.0000	0.0000	0.0000
3082	0	0	0	0.0000	0.0000	0.0000
3113	0	0	0	0.0000	0.0000	0.0000
3130	0	0	0	0.0000	0.0000	0.0000
3161	0	0	0	0.0000	0.0000	0.0000
3192	0	3843	0	0.0000	1.0000	0.0000
3223	0	14606	0	0.0000	1.0000	0.0000
3240	0	19474	0	0.0000	1.0000	0.0000
3271	0	34721	0	0.0000	1.0000	0.0000
3301	0	49391	0	0.0000	1.0000	0.0000
3332	0	59641	0	0.0000	1.0000	0.0000
3348	0	61819	0	0.0000	1.0000	0.0000
3380	0	65535	0	0.0000	1.0000	0.0000
3410	0	65535	0	0.0000	1.0000	0.0000
3441	0	65535	0	0.0000	1.0000	0.0000
3472	0	65535	0	0.0000	1.0000	0.0000
3488	0	65535	0	0.0000	1.0000	0.0000
3520	0	65535	0	0.0000	1.0000	0.0000
3551	0	65535	0	0.0000	1.0000	0.0000
3581	0	65535	0	0.0000	1.0000	0.0000
3597	0	65535	0	0.0000	1.0000	0.0000
3628	0	65535	0	0.0000	1.0000	0.0000
3660	0	65535	0	0.0000	1.0000	0.0000
3675	0	65535	0	0.0000	1.0000	0.0000
3706	0	65535	0	0.0000	1.0000	0.0000
3722	0	65535	0	0.0000	1.0000	0.0000
3753	0	65535	0	0.0000	1.0000	0.0000
3768	0	65535	0	0.0000	1.0000	0.0000
3799	0	61306	0	0.0000	1.0000	0.0000
3831	0	53939	0	0.0000	1.0000	0.0000
3846	0	49391	0	0.0000	1.0000	0.0000
3878	0	42152	0	0.0000	1.0000	0.0000
3908	0	34593	0	0.0000	1.0000	0.0000
3940	0	26009	0	0.0000	1.0000	0.0000
3955	0	22998	0	0.0000	1.0000	0.0000
3971	0	19602	0	0.0000	1.0000	0.0000
3988	0	12876	0	0.0000	1.0000	0.0000
4019	0	3651	0	0.0000	1.0000	0.0000
4050	0	0	0	0.0000	0.0000	0.0000
4081	0	0	0	0.0000	0.0000	0.0000
4097	0	0	0	0.0000	0.0000	0.0000
4128	0	0	0	0.0000	0.0000	0.0000
4160	0	0	0	0.0000	0.0000	0.0000
4191	0	0	0	0.0000	0.0000	0.0000
4222	0	0	0	0.0000	0.0000	0.0000
4237	0	0	0	0.0000	0.0000	0.0000
4268	0	0	0	0.0000	0.0000	0.0000
4298	0	0	0	0.0000	0.0000	0.0000
4330	0	320	0	0.0000	0.3128	0.0000
4361	0	2626	0	0.0000	1.0000	0.0000
4376	0	3971	0	0.0000	1.0000	0.0000
4407	0	10890	0	0.0000	1.0000	0.0000
4438	0	22805	0	0.0000	1.0000	0.0000
